symbol,symbol_1,symbol_2,adf_stat,adf_p,industry_1,industry_2,sector_1,sector_2
LOW-VMC,LOW,VMC,-4.127690695901811,0.0008713364012945999,Home Improvement Retail,Construction Materials,Consumer Discretionary,Materials
ALLE-AMGN,ALLE,AMGN,-4.127298319838942,0.0008726473150870859,Building Products,Biotechnology,Industrials,Health Care
CMCSA-SWY,CMCSA,SWY,-4.125163602025972,0.000879811771177661,Broadcasting & Cable TV,Food Retail,Consumer Discretionary,Consumer Staples
CSX-FDX,CSX,FDX,-4.1248586707849935,0.0008808396573921349,Railroads,Air Freight & Logistics,Industrials,Industrials
ACN-DD,ACN,DD,-4.124103980812767,0.0008833884670491735,IT Consulting & Services,Diversified Chemicals,Information Technology,Materials
FDX-GD,FDX,GD,-4.123761765979578,0.0008845465030916105,Air Freight & Logistics,Aerospace & Defense,Industrials,Industrials
FLS-SWK,FLS,SWK,-4.1237496882828415,0.0008845873993255864,Industrial Machinery,Household Appliances,Industrials,Consumer Discretionary
DVN-QEP,DVN,QEP,-4.123138682661545,0.0008866586363283999,Oil & Gas Exploration & Production,Oil & Gas Exploration & Production,Energy,Energy
ABT-SYY,ABT,SYY,-4.122173017844486,0.0008899413951670204,Health Care Equipment & Services,Food Distributors,Health Care,Consumer Staples
AMT-HAS,AMT,HAS,-4.122171643006116,0.0008899460770114327,REITs,Leisure Products,Financials,Consumer Discretionary
EA-HRB,EA,HRB,-4.121981719146405,0.0008905930614064707,Application Software,Consumer Finance,Information Technology,Financials
RF-TMK,RF,TMK,-4.121591461187446,0.0008919238766094786,Diversified Financial Services,Life & Health Insurance,Financials,Financials
LNC-PFG,LNC,PFG,-4.1211579887581875,0.0008934042412238879,Multi-line Insurance,Diversified Financial Services,Financials,Financials
D-KMB,D,KMB,-4.120821286621854,0.00089455571098294,Multi-Utilities & Unregulated Power,Household Products,Utilities,Consumer Staples
BEAM-FMC,BEAM,FMC,-4.120781285023849,0.0008946926026980298,Distillers & Vintners,Diversified Chemicals,Consumer Staples,Materials
INTU-LYB,INTU,LYB,-4.120321010267492,0.0008962691476500175,Internet Software & Services,Diversified Chemicals,Information Technology,Materials
LO-PHM,LO,PHM,-4.120270472621669,0.0008964424089895623,Tobacco,Homebuilding,Consumer Staples,Consumer Discretionary
CHRW-MJN,CHRW,MJN,-4.120264883390234,0.0008964615728247737,Air Freight & Logistics,Packaged Foods & Meats,Industrials,Consumer Staples
AME-LLL,AME,LLL,-4.119985584349921,0.0008974196962853256,Electrical Components and Equipment,Industrial Conglomerates,Industrials,Industrials
HOT-NWSA,HOT,NWSA,-4.119217960094623,0.0009000579429117733,"Hotels, Resorts & Cruise Lines",Publishing,Consumer Discretionary,Consumer Discretionary
MKC-RRC,MKC,RRC,-4.119216038655819,0.0009000645558094528,Packaged Foods & Meats,Oil & Gas Exploration & Production,Consumer Staples,Energy
PBCT-STI,PBCT,STI,-4.119025614325927,0.0009007201533487572,Banks,Banks,Financials,Financials
ATI-EMC,ATI,EMC,-4.118761298254421,0.0009016308886732916,Diversified Metals & Mining,IT Consulting & Services,Materials,Information Technology
RF-STI,RF,STI,-4.118370696478302,0.0009029783373642922,Diversified Financial Services,Banks,Financials,Financials
CBS-KORS,CBS,KORS,-4.117607885950508,0.0009056152260626145,Broadcasting & Cable TV,"Apparel, Accessories & Luxury Goods",Consumer Discretionary,Consumer Discretionary
CELG-SWY,CELG,SWY,-4.117410948868876,0.0009062971701717725,Biotechnology,Food Retail,Health Care,Consumer Staples
DISCA-STZ,DISCA,STZ,-4.117402386197553,0.0009063268314818437,Broadcasting & Cable TV,Distillers & Vintners,Consumer Discretionary,Consumer Staples
HOT-PCP,HOT,PCP,-4.115761107923278,0.0009120290840790941,"Hotels, Resorts & Cruise Lines",Industrial Conglomerates,Consumer Discretionary,Industrials
ECL-KSU,ECL,KSU,-4.1157025905879365,0.000912233008537103,Specialty Chemicals,Railroads,Materials,Industrials
MOS-TXT,MOS,TXT,-4.1154679920843815,0.0009130509793485862,Fertilizers & Agricultural Chemicals,Industrial Conglomerates,Materials,Industrials
EBAY-JBL,EBAY,JBL,-4.114961489212363,0.0009148193381897906,Internet Software & Services,IT Consulting & Services,Information Technology,Information Technology
LO-PLD,LO,PLD,-4.114779400780334,0.0009154558490382187,Tobacco,Diversified Financial Services,Consumer Staples,Financials
FDX-FLR,FDX,FLR,-4.11400297341969,0.0009181745976755675,Air Freight & Logistics,Diversified Commercial Services,Industrials,Industrials
ETN-QEP,ETN,QEP,-4.113841642101233,0.0009187404657737378,Industrial Conglomerates,Oil & Gas Exploration & Production,Industrials,Energy
COH-SWN,COH,SWN,-4.113418246391072,0.0009202270761615585,"Apparel, Accessories & Luxury Goods",Oil & Gas Exploration & Production,Consumer Discretionary,Energy
JNJ-MKC,JNJ,MKC,-4.112907353159012,0.0009220239039131093,Health Care Equipment & Services,Packaged Foods & Meats,Health Care,Consumer Staples
FB-KORS,FB,KORS,-4.112687382971873,0.0009227985576088319,Internet Software & Services,"Apparel, Accessories & Luxury Goods",Information Technology,Consumer Discretionary
HCBK-TXN,HCBK,TXN,-4.112500134138807,0.0009234584590435027,Banks,Semiconductors,Financials,Information Technology
ACE-MMC,ACE,MMC,-4.112184670072302,0.0009245712156112774,Property & Casualty Insurance,Insurance Brokers,Financials,Financials
DLPH-QEP,DLPH,QEP,-4.112130596731849,0.0009247620779916738,Auto Parts & Equipment,Oil & Gas Exploration & Production,Consumer Discretionary,Energy
CELG-MJN,CELG,MJN,-4.111820843998974,0.000925856121873985,Biotechnology,Packaged Foods & Meats,Health Care,Consumer Staples
AKAM-QEP,AKAM,QEP,-4.111314176792818,0.0009276482793143926,Internet Software & Services,Oil & Gas Exploration & Production,Information Technology,Energy
